150 2
1048576	2097152
1048575	2097151
1048574	2097150
1048573	2097149
1048572	2097148
1048571	2097147
1048570	2097146
1048569	2097145
1048568	2097144
1048567	2097143
1048566	2097142
1048565	2097141
1048564	2097140
1048563	2097139
1048562	2097138
1048561	2097137
1048560	2097136
1048559	2097135
1048558	2097134
1048557	2097133
1048556	2097132
1048555	2097131
1048554	2097130
1048553	2097129
1048552	2097128
1048551	2097127
1048550	2097126
1048549	2097125
1048548	2097124
1048547	2097123
1048546	2097122
1048545	2097121
1048544	2097120
1048543	2097119
1048542	2097118
1048541	2097117
1048540	2097116
1048539	2097115
1048538	2097114
1048537	2097113
1048536	2097112
1048535	2097111
1048534	2097110
1048533	2097109
1048532	2097108
1048531	2097107
1048530	2097106
1048529	2097105
1048528	2097104
1048527	2097103
2251799813685020	22517998136830
2251799813685010	22517998136829
2251799813685000	22517998136828
2251799813684990	22517998136827
2251799813684980	22517998136826
2251799813684970	22517998136825
2251799813684960	22517998136824
2251799813684950	22517998136823
2251799813684940	22517998136822
2251799813684930	22517998136821
2251799813684920	22517998136820
2251799813684910	22517998136819
2251799813684900	22517998136818
2251799813684890	22517998136817
2251799813684880	22517998136816
2251799813684870	22517998136815
2251799813684860	22517998136814
2251799813684850	22517998136813
2251799813684840	22517998136812
2251799813684830	22517998136811
2251799813684820	22517998136810
2251799813684810	22517998136809
2251799813684800	22517998136808
2251799813684790	22517998136807
2251799813684780	22517998136806
2251799813684770	22517998136805
2251799813684760	22517998136804
2251799813684750	22517998136803
2251799813684740	22517998136802
2251799813684730	22517998136801
2251799813684720	22517998136800
2251799813684710	22517998136799
2251799813684700	22517998136798
2251799813684690	22517998136797
2251799813684680	22517998136796
2251799813684670	22517998136795
2251799813684660	22517998136794
2251799813684650	22517998136793
2251799813684640	22517998136792
2251799813684630	22517998136791
2251799813684620	22517998136790
2251799813684610	22517998136789
2251799813684600	22517998136788
2251799813684590	22517998136787
2251799813684580	22517998136786
2251799813684570	22517998136785
2251799813684560	22517998136784
2251799813684550	22517998136783
2251799813684540	22517998136782
2251799813684530	22517998136781
4647856104846919688	2097103
4647856104846919687	2097102
4647856104846919686	2097101
4647856104846919685	2097100
4647856104846919684	2097099
4647856104846919683	2097098
4647856104846919682	2097097
4647856104846919681	2097096
4647856104846919680	2097095
4647856104846919679	2097094
4647856104846919678	2097093
4647856104846919677	2097092
4647856104846919676	2097091
4647856104846919675	2097090
4647856104846919674	2097089
4647856104846919673	2097088
4647856104846919672	2097087
4647856104846919671	2097086
4647856104846919670	2097085
4647856104846919669	2097084
4647856104846919668	2097083
4647856104846919667	2097082
4647856104846919666	2097081
4647856104846919665	2097080
4647856104846919664	2097079
4647856104846919663	2097078
4647856104846919662	2097077
4647856104846919661	2097076
4647856104846919660	2097075
4647856104846919659	2097074
4647856104846919658	2097073
4647856104846919657	2097072
4647856104846919656	2097071
4647856104846919655	2097070
4647856104846919654	2097069
4647856104846919653	2097068
4647856104846919652	2097067
4647856104846919651	2097066
4647856104846919650	2097065
4647856104846919649	2097064
4647856104846919648	2097063
4647856104846919647	2097062
4647856104846919646	2097061
4647856104846919645	2097060
4647856104846919644	2097059
4647856104846919643	2097058
4647856104846919642	2097057
4647856104846919641	2097056
4647856104846919640	2097055
0	2097054
